source,target,ligand,Beta_Slope,receptor,PSC_Slope,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,source.target,prob.original,group.names,dataset
Beta,PSC,PGE2-PTGES2,0.417760169,PTGER2,0.235785464,0.106449446,3,PGE2-PTGES2_PTGER2,PGE2-PTGES2 - PTGER2,Prostaglandin,Non-protein Signaling,PMID: 34949672;PMID: 21508345,Beta -> PSC (T2D),8.32E-05,Beta -> PSC,T2D
Beta,PSC,PGE2-PTGES2,0.417760169,PTGER2,0.235785464,0.09806727,3,PGE2-PTGES2_PTGER2,PGE2-PTGES2 - PTGER2,Prostaglandin,Non-protein Signaling,PMID: 34949672;PMID: 21508345,Beta -> PSC (H),3.73E-05,Beta -> PSC,H
Beta,PSC,PGE2-PTGES3,0.92947333,PTGER2,0.235785464,0.125194057,3,PGE2-PTGES3_PTGER2,PGE2-PTGES3 - PTGER2,Prostaglandin,Non-protein Signaling,PMID: 34949672;PMID: 21508345,Beta -> PSC (T2D),0.000339648,Beta -> PSC,T2D
Beta,PSC,PGE2-PTGES3,0.92947333,PTGER2,0.235785464,0.112538243,3,PGE2-PTGES3_PTGER2,PGE2-PTGES3 - PTGER2,Prostaglandin,Non-protein Signaling,PMID: 34949672;PMID: 21508345,Beta -> PSC (H),0.00013833,Beta -> PSC,H
Beta,PSC,PROS1,0.729079784,AXL,0.83419271,0.11467459,3,PROS1_AXL,PROS1 - AXL,PROS,Secreted Signaling,PMID: 29531161,Beta -> PSC (T2D),0.000163234,Beta -> PSC,T2D
Beta,PSC,PROS1,0.729079784,AXL,0.83419271,0.10488033,3,PROS1_AXL,PROS1 - AXL,PROS,Secreted Signaling,PMID: 29531161,Beta -> PSC (H),7.23E-05,Beta -> PSC,H
Beta,PSC,PTPRM,0.23950579,PTPRM,0.712489225,0.099163212,3,PTPRM_PTPRM,PTPRM - PTPRM,PTPRM,Cell-Cell Contact,KEGG: hsa04514,Beta -> PSC (T2D),4.17E-05,Beta -> PSC,T2D
Beta,PSC,PTPRM,0.23950579,PTPRM,0.712489225,0.095574125,3,PTPRM_PTPRM,PTPRM - PTPRM,PTPRM,Cell-Cell Contact,KEGG: hsa04514,Beta -> PSC (H),2.86E-05,Beta -> PSC,H
Beta,PSC,SDC2,0.730300932,ADGRA2,0.06371492,0.113944075,3,SDC2_ADGRA2,SDC2 - ADGRA2,ADGRA,Cell-Cell Contact,PMID: 31462748,Beta -> PSC (T2D),0.000154358,Beta -> PSC,T2D
Beta,PSC,SDC2,0.730300932,ADGRA2,0.06371492,0.113591836,3,SDC2_ADGRA2,SDC2 - ADGRA2,ADGRA,Cell-Cell Contact,PMID: 31462748,Beta -> PSC (H),0.000150214,Beta -> PSC,H
Beta,PSC,SPP1,0.95514952,ITGA5_ITGB1,"0.937624024454352,0.353279010633248",0.236994925,3,SPP1_ITGA5_ITGB1,SPP1 - (ITGA5+ITGB1),SPP1,Secreted Signaling,PMID: 21907263,Beta -> PSC (T2D),0.014706001,Beta -> PSC,T2D
Beta,PSC,SPP1,0.95514952,ITGA5_ITGB1,"0.937624024454352,0.353279010633248",0.208187829,3,SPP1_ITGA5_ITGB1,SPP1 - (ITGA5+ITGB1),SPP1,Secreted Signaling,PMID: 21907263,Beta -> PSC (H),0.008202185,Beta -> PSC,H
Beta,PSC,SPP1,0.95514952,ITGAV_ITGB1,"0.937624024454352,0.521099557758201",0.240647236,3,SPP1_ITGAV_ITGB1,SPP1 - (ITGAV+ITGB1),SPP1,Secreted Signaling,PMID: 21907263,Beta -> PSC (T2D),0.015678575,Beta -> PSC,T2D
Beta,PSC,SPP1,0.95514952,ITGAV_ITGB1,"0.937624024454352,0.521099557758201",0.212801134,3,SPP1_ITGAV_ITGB1,SPP1 - (ITGAV+ITGB1),SPP1,Secreted Signaling,PMID: 21907263,Beta -> PSC (H),0.009102346,Beta -> PSC,H
Beta,PSC,SPP1,0.95514952,ITGAV_ITGB5,"0.521099557758201,0.841388381506849",0.188027485,3,SPP1_ITGAV_ITGB5,SPP1 - (ITGAV+ITGB5),SPP1,Secreted Signaling,PMID: 21907263,Beta -> PSC (T2D),0.004900729,Beta -> PSC,T2D
Beta,PSC,SPP1,0.95514952,ITGAV_ITGB5,"0.521099557758201,0.841388381506849",0.166728082,3,SPP1_ITGAV_ITGB5,SPP1 - (ITGAV+ITGB5),SPP1,Secreted Signaling,PMID: 21907263,Beta -> PSC (H),0.002484237,Beta -> PSC,H
Beta,PSC,TENM3,0.816166743,ADGRL2,0.045941749,0.077119773,3,TENM3_ADGRL2,TENM3 - ADGRL2,ADGRL,Cell-Cell Contact,PMID: 25728924;PMID: 34022279;PMID: 27091502;PMID: 35907405,Beta -> PSC (T2D),2.34E-06,Beta -> PSC,T2D
Beta,PSC,TENM3,0.816166743,ADGRL2,0.045941749,0.066177698,3,TENM3_ADGRL2,TENM3 - ADGRL2,ADGRL,Cell-Cell Contact,PMID: 25728924;PMID: 34022279;PMID: 27091502;PMID: 35907405,Beta -> PSC (H),2.74E-07,Beta -> PSC,H
Beta,PSC,TGFB1,0.83359492,ACVR1_TGFbR,"0.126155609902602,0.119280918203958",0.09230293,3,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829,Beta -> PSC (T2D),1.97E-05,Beta -> PSC,T2D
Beta,PSC,TGFB1,0.83359492,ACVR1_TGFbR,"0.126155609902602,0.119280918203958",0.084309564,3,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829,Beta -> PSC (H),7.06E-06,Beta -> PSC,H
Beta,PSC,TGFB1,0.83359492,ACVR1B_TGFbR2,"0.310809543600476,0.117421645065224",0.073862817,2,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Beta -> PSC (T2D),1.32E-06,Beta -> PSC,T2D
Beta,PSC,TGFB1,0.83359492,ACVR1B_TGFbR2,"0.310809543600476,0.117421645065224",0.068402505,3,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Beta -> PSC (H),4.48E-07,Beta -> PSC,H
Beta,PSC,TGFB1,0.83359492,TGFbR1_R2,"0.119280918203958,0.117421645065224",0.08426091,3,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350,Beta -> PSC (T2D),7.01E-06,Beta -> PSC,T2D
Beta,PSC,TGFB1,0.83359492,TGFbR1_R2,"0.119280918203958,0.117421645065224",0.07838794,3,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350,Beta -> PSC (H),2.88E-06,Beta -> PSC,H
