Names,GSEA_term,Beta_FDR,Alpha_FDR,Delta_FDR,PP_FDR,PSC_FDR,Endothelial_FDR,Duct_FDR,Acinar_FDR,Beta.Genes,Alpha.Genes,Delta.Genes,PP.Genes,PSC.Genes,Endothelial.Genes,Duct.Genes,Acinar.Genes,Beta.Counts,Alpha.Counts,Delta.Counts,PP.Counts,PSC.Counts,Endothelial.Counts,Duct.Counts,Acinar.Counts,Gene_Count
Detoxification of Inorganic Compound,GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND,0.00029935,0.35673456,0.175963172,1,1,0.770534736,0.299415,0.927262022,"MT1X,MT1F,MT1E,MT2A,MT1G,MT1M","PARK7,MT1F","MT1F,CAT,MT3",,,TXN,"TXN,MT1M",PARK7,6,2,3,0,0,1,2,1,23
Increased Serum Pyruvate,HP_INCREASED_SERUM_PYRUVATE,0.001153559,3.00E-07,0.001586144,1,0.179632342,0.062248143,1,0.000581183,"NDUFS6,NDUFB3,NDUFS4,NDUFB11,NDUFB10,TMEM126B,SCO2","NDUFAF3,NDUFA11,NDUFS4,NDUFB10,NDUFB11,NDUFB9,NDUFS7,NDUFAF8,NDUFS8,NDUFS3","NDUFS4,NDUFS8,NDUFA11,NDUFS7,TMEM126B,NDUFA6,BCS1L",SLC25A26,"MPC1,NDUFS7,NDUFB10","NDUFS7,SLC25A26,NDUFB10,NDUFS3",NDUFA11,"LDHA,MPC1,BCS1L,NDUFS8,NDUFS3,NDUFAF3,NDUFV1",7,10,7,1,3,4,1,7,47
Abnormal Circulating Free Fatty Acid Concentration,HP_ABNORMAL_CIRCULATING_FREE_FATTY_ACID_CONCENTRATION,0.002056937,1,0.244875824,1,1,1,0.545599285,0.67626087,"HADH,HNF1A,ABCC8,UCP2",,"HADH,KCNJ11",,,,DOLK,HNF1A,4,0,2,0,0,0,1,1,10
Diabetic Ketoacidosis,HP_DIABETIC_KETOACIDOSIS,0.0159175,1,0.994593757,1,0.647898615,0.721357214,1,0.874833001,"INS,HNF1A,ABCC8,HNF4A",,KCNJ11,,INS,INS,,HNF1A,4,0,1,0,1,1,0,1,20
Sulfurtransferase Activity,GOMF_SULFURTRANSFERASE_ACTIVITY,0.033596039,0.713288395,0.278499595,0.686781056,1,1,0.565653575,1,"TSTD1,MOCS2,TST",TSTD1,"NFS1,TSTD1",TRMU,,,MPST,,3,1,2,1,0,0,1,0,11
mRNA Capping Process,REACTOME_MRNA_CAPPING,0.189559575,0.021109211,0.24312196,1,0.772607269,0.088769843,1,0.137293551,"GTF2H5,POLR2J,POLR2F","POLR2E,POLR2F,POLR2K,GTF2H5","GTF2H5,POLR2F,POLR2K",,CCNH,"POLR2K,POLR2F,POLR2H",,"POLR2E,GTF2H5,POLR2G",3,4,3,0,1,3,0,3,29
Spliceosomal Complex,GOCC_SPLICEOSOMAL_COMPLEX,1,0.020210912,1,0.298284078,1,0.579347352,1,0.969516637,LSM5,"LSM4,SNRPC,LSM3,SNRNP25,LSM7,SNRPB,CRIPT,TXNL4A,SNRPE,LSM6",SF3A2,"CIRBP,SNRNP40,ZCRB1,SF3B5,PRPF39,RBM3,LSM6","LSM6,LSM3","SRSF2,RBM8A,LSM4,LSM6,CIRBP","LSM7,RBM8A","SRSF2,LSM4,WDR83,SNRNP25",1,10,1,7,2,5,2,4,199
Precatalytic Spliceosome,GOCC_PRECATALYTIC_SPLICEOSOME,1,0.000628906,1,0.721207187,0.522121186,0.586378564,1,1,LSM5,"LSM4,LSM3,LSM7,SNRPB,TXNL4A,SNRPE,LSM6",SF3A2,"SF3B5,LSM6","LSM6,LSM3","LSM4,LSM6",LSM7,LSM4,1,7,1,2,2,2,1,1,52
Protein Hydroxylation,REACTOME_PROTEIN_HYDROXYLATION,1,0.004881668,0.952984217,0.009040632,0.610424834,1,0.214650218,0.006658766,,"RPS6,RPL8,RPL27A,RPS23",RPS6,"RPL8,JMJD6,RPS6,RPS23",RPS6,,"RPS23,RPS6","RPS6,RPL8,RPS23,RPL27A",0,4,1,4,1,0,2,4,18
Aldehyde Catabolic Process,GOBP_ALDEHYDE_CATABOLIC_PROCESS,0.269666174,0.021319291,0.840532182,1,0.108504433,0.571969511,0.595826945,0.026726808,"ALDH2,PNKD","PARK7,PNKD,HAGH",PNKD,,"ESD,AGXT",HAGH,AKR1A1,"PARK7,PDXP,AGXT",2,3,1,0,2,1,1,3,13
Metal Ion Sequestering Activity,GOMF_METAL_ION_SEQUESTERING_ACTIVITY,1,0.044162993,1,1,0.296248746,1,0.375103177,0.476027939,,"FTH1,SLC39A4",,,FTH1,,FTH1,FTH1,0,2,0,0,1,0,1,1,5
Small Protein Activating Enzyme Binding,GOMF_SMALL_PROTEIN_ACTIVATING_ENZYME_BINDING,1,0.044162993,1,0.472450799,0.027273315,0.349625414,0.375103177,0.476027939,,"PARK7,SUMO1",,UBA2,"UBA2,SUMO1",SUMO1,SUMO1,PARK7,0,2,0,1,2,1,1,1,5
Regulation of Ubiquitin Protein Transferase Activity,GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY,1,0.044863318,0.773406735,0.013641992,0.889476457,0.152950679,0.482785231,0.05514288,UBE2S,"RPS7,PARK7,RPS2,SKP1","RPS2,USP44","RPS2,RPL11,FZR1,RPS7,TRIB3",SKP1,"SKP1,UBE2L3,FBXO5","RPL11,UBE2L3","RPS2,RPL11,RPS7,PARK7",1,4,2,5,1,3,2,4,38
Fatty Acid Catabolic Process,GOBP_FATTY_ACID_CATABOLIC_PROCESS,0.325015108,1,0.001136574,1,0.569306394,0.635680693,1,1,"HADH,ETFB,PCCB,AIG1,ABCD3",HSD17B10,"HADH,GCDH,ABCD3,DECR2,ECHDC2,ETFDH,BDH2,IVD,DECR1,ALDH1L2",,"ECH1,PEX2,PHYH","ETFA,PEX7,ECH1",HSD17B10,PCCB,5,1,10,0,3,3,1,1,105
Lipid Oxidation,GOBP_LIPID_OXIDATION,0.910266053,1,0.001734796,1,0.338489666,0.682171018,1,1,"HADH,ETFB,ABCD3",HSD17B10,"HADH,GCDH,ABCD3,DECR2,ECHDC2,ETFDH,BDH2,IVD,DECR1,ALDH1L2",PDK4,"GDF15,ECH1,PEX2,PHYH","ETFA,PEX7,ECH1",HSD17B10,PRKAG2,3,1,10,1,4,3,1,1,112
